run_id,seed,t,I,P,R,kappa,EH,bound
A-placebo,42,0,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,10,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,20,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,30,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,40,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,50,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,60,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,70,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,80,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,90,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,100,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,110,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,120,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,130,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,140,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,150,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,160,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,170,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,180,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,190,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,42,200,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,0,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,10,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,20,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,30,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,40,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,50,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,60,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,70,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,80,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,90,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,100,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,110,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,120,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,130,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,140,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,150,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,160,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,170,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,180,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,190,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,123,200,2082.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,0,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,10,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,20,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,30,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,40,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,50,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,60,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,70,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,80,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,90,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,100,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,110,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,120,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,130,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,140,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,150,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,160,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,170,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,180,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,190,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,456,200,2093.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,0,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,10,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,20,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,30,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,40,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,50,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,60,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,70,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,80,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,90,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,100,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,110,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,120,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,130,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,140,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,150,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,160,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,170,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,180,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,190,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,789,200,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,0,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,10,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,20,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,30,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,40,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,50,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,60,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,70,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,80,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,90,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,100,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,110,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,120,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,130,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,140,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,150,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,160,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,170,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,180,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,190,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1011,200,2052.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,0,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,10,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,20,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,30,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,40,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,50,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,60,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,70,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,80,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,90,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,100,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,110,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,120,2050.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1213,130,2050.0,0.0,0.0,0.0,True,1477.3197218702985
